https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1646956800000,2022-03-11 00:00:00,DOT/USD,16.967,18.486,16.703,17.711,4744045.366723271,267858.69610543
1646870400000,2022-03-10 00:00:00,DOT/USD,17.87,17.946,16.709,16.978,2712901.6759419004,159789.23759818
1646784000000,2022-03-09 00:00:00,DOT/USD,16.973,18.084,16.898,17.866,2472988.207717975,138418.68396496
1646697600000,2022-03-08 00:00:00,DOT/USD,16.411,17.276,16.314,16.982,3364935.5085656215,198147.18575937
1646611200000,2022-03-07 00:00:00,DOT/USD,16.979,17.136,16.016,16.421,2936195.7365896357,178807.36475182
1646524800000,2022-03-06 00:00:00,DOT/USD,17.329,17.602,16.547,16.999,2422119.351943943,142485.99046673
1646438400000,2022-03-05 00:00:00,DOT/USD,16.787,17.799,16.206,17.327,2529151.6425898136,145965.92846943
1646352000000,2022-03-04 00:00:00,DOT/USD,18.025,18.06,16.509,16.783,3260148.5338069154,194253.02590758
1646265600000,2022-03-03 00:00:00,DOT/USD,18.624,18.674,17.783,18.043,2907413.8239312805,161138.0493228
1646179200000,2022-03-02 00:00:00,DOT/USD,18.926,19.276,18.37,18.614,3089465.654426422,165975.37629883
1646092800000,2022-03-01 00:00:00,DOT/USD,18.939,19.588,18.363,18.906,5388953.442339918,285039.32309002
1646006400000,2022-02-28 00:00:00,DOT/USD,17.505,19.128,16.664,18.974,5313689.148470298,280051.07771004
1645920000000,2022-02-27 00:00:00,DOT/USD,18.048,18.716,17.092,17.495,4489966.70838871,256642.85272299
1645833600000,2022-02-26 00:00:00,DOT/USD,17.273,18.783,17.193,18.033,6330064.087197066,351026.67815655
1645747200000,2022-02-25 00:00:00,DOT/USD,16.209,17.549,15.824,17.263,3605780.3372136047,208873.33239956
1645660800000,2022-02-24 00:00:00,DOT/USD,15.99,16.739,14.075,16.189,9760467.157214547,602907.35420437
1645574400000,2022-02-23 00:00:00,DOT/USD,16.627,17.515,15.939,15.992,3369091.308710351,210673.54356618001
1645488000000,2022-02-22 00:00:00,DOT/USD,16.225,16.748,15.831,16.633,2909574.0170975393,174927.7951721
1645401600000,2022-02-21 00:00:00,DOT/USD,16.934,17.753,16.057,16.209,4420320.214778276,272707.76820151
1645315200000,2022-02-20 00:00:00,DOT/USD,17.871,17.871,16.714,16.922,2556655.6159317973,151084.71905991
1645228800000,2022-02-19 00:00:00,DOT/USD,17.821,18.229,17.358,17.866,2272655.8780537015,127205.63517596001
1645142400000,2022-02-18 00:00:00,DOT/USD,18.169,18.61,17.642,17.84,3246135.4997272315,181958.26792193
1645056000000,2022-02-17 00:00:00,DOT/USD,19.772,20.019,17.805,18.161,5275190.518127396,290468.06443078
1644969600000,2022-02-16 00:00:00,DOT/USD,20.198,20.198,19.078,19.795,2586875.631240088,130683.28523567
1644883200000,2022-02-15 00:00:00,DOT/USD,18.708,20.344,18.659,20.18,2704607.814755045,134024.17317914
1644796800000,2022-02-14 00:00:00,DOT/USD,18.763,18.955,18.041,18.7,2687353.398060353,143708.73786419
1644710400000,2022-02-13 00:00:00,DOT/USD,18.843,19.295,18.401,18.756,2566234.022521594,136822.03148441
1644624000000,2022-02-12 00:00:00,DOT/USD,18.977,19.439,18.294,18.825,3842956.317191392,204141.1058269
1644537600000,2022-02-11 00:00:00,DOT/USD,20.534,20.751,18.61,18.995,4269544.323913579,224772.00968221
1644451200000,2022-02-10 00:00:00,DOT/USD,21.959,22.47,20.521,20.527,4778577.946497048,232794.75551698
1644364800000,2022-02-09 00:00:00,DOT/USD,21.677,22.252,21.079,21.976,2889220.7998152967,131471.64178264
1644278400000,2022-02-08 00:00:00,DOT/USD,22.391,23.184,21.087,21.647,4977137.453815761,229922.73542827
1644192000000,2022-02-07 00:00:00,DOT/USD,21.959,22.727,21.43,22.365,4941834.561232657,220962.86882328
1644105600000,2022-02-06 00:00:00,DOT/USD,21.353,21.955,20.811,21.951,2901940.295747626,132200.82437008
1644019200000,2022-02-05 00:00:00,DOT/USD,20.497,22.29,20.344,21.377,6892645.625073795,322432.78407044
1643932800000,2022-02-04 00:00:00,DOT/USD,18.925,20.545,18.739,20.495,5028244.845977405,245340.07543193
1643846400000,2022-02-03 00:00:00,DOT/USD,18.776,18.96,17.985,18.93,5438986.438014018,287320.99514073
1643760000000,2022-02-02 00:00:00,DOT/USD,19.59,20.586,18.538,18.758,7581307.216727132,404163.94161036
1643673600000,2022-02-01 00:00:00,DOT/USD,19.388,20.038,19.163,19.587,6706211.352567892,342380.72969663
1643587200000,2022-01-31 00:00:00,DOT/USD,18.169,19.62,17.139,19.379,6417280.678068531,331146.12095921
1643500800000,2022-01-30 00:00:00,DOT/USD,18.71,19.001,17.813,18.18,4610024.621575349,253576.71185783
1643414400000,2022-01-29 00:00:00,DOT/USD,18.338,19.075,18.089,18.732,4159291.4036395126,222042.03521458
1643328000000,2022-01-28 00:00:00,DOT/USD,18.115,18.498,17.378,18.346,4569281.563530951,249061.46100136
1643241600000,2022-01-27 00:00:00,DOT/USD,18.082,18.419,17.172,18.137,5423542.481595016,299031.95024508
1643155200000,2022-01-26 00:00:00,DOT/USD,18.324,20.05,17.541,18.088,7312149.277317253,404254.16172696
1643068800000,2022-01-25 00:00:00,DOT/USD,18.028,19.041,17.402,18.318,4071884.874032496,222288.72551766
1642982400000,2022-01-24 00:00:00,DOT/USD,18.835,18.835,15.83,18.044,10200796.274508245,565328.98883331
1642896000000,2022-01-23 00:00:00,DOT/USD,18.3,19.195,17.756,18.849,8047783.042556617,426960.74288061
1642809600000,2022-01-22 00:00:00,DOT/USD,19.658,20.143,16.106,18.278,20483176.453251854,1120646.48502308
1642723200000,2022-01-21 00:00:00,DOT/USD,22.993,23.485,19.061,19.679,13651177.636844505,693692.64885637
1642636800000,2022-01-20 00:00:00,DOT/USD,24.071,25.605,22.85,23.036,5157072.020819654,223870.11724343
1642550400000,2022-01-19 00:00:00,DOT/USD,25.177,25.31,23.711,24.073,10980149.062944418,456118.84945559
1642464000000,2022-01-18 00:00:00,DOT/USD,25.712,26.059,24.266,25.155,6735879.751055329,267774.98513438
1642377600000,2022-01-17 00:00:00,DOT/USD,27.695,27.75,25.133,25.699,6210572.736961961,241665.93007362
1642291200000,2022-01-16 00:00:00,DOT/USD,27.637,28.468,27.283,27.698,4777610.192920729,172489.35637666
1642204800000,2022-01-15 00:00:00,DOT/USD,27.768,28.4,26.84,27.616,4339699.162968189,157144.37872857
1642118400000,2022-01-14 00:00:00,DOT/USD,25.79,27.917,25.56,27.736,7995200.141706957,288260.74926835
1642032000000,2022-01-13 00:00:00,DOT/USD,27.303,27.684,25.722,25.802,6187179.567899834,239794.57281993
1641945600000,2022-01-12 00:00:00,DOT/USD,25.544,27.58,25.473,27.309,6322629.450830828,231521.82250653
1641859200000,2022-01-11 00:00:00,DOT/USD,23.736,26.003,23.502,25.551,7917406.636244205,309866.80115237
1641772800000,2022-01-10 00:00:00,DOT/USD,24.625,25.214,22.439,23.714,9652912.922515903,407055.44920789
1641686400000,2022-01-09 00:00:00,DOT/USD,23.988,25.303,23.687,24.625,6434814.641189879,261312.26969299
1641600000000,2022-01-08 00:00:00,DOT/USD,24.876,25.522,23.136,24.004,12797206.66413503,533128.08965735
1641513600000,2022-01-07 00:00:00,DOT/USD,26.743,26.848,24.266,24.876,11954867.248984106,480578.35861811
1641427200000,2022-01-06 00:00:00,DOT/USD,26.683,27.333,25.521,26.709,10955945.819991075,410196.78086005
1641340800000,2022-01-05 00:00:00,DOT/USD,28.709,30.371,25.048,26.715,13278361.640272107,497037.68071391
1641254400000,2022-01-04 00:00:00,DOT/USD,30.1,30.582,28.67,28.67,8434351.683539858,294187.36252319
1641168000000,2022-01-03 00:00:00,DOT/USD,29.71,30.879,28.627,30.11,21081331.9798432,700143.87179818
1641081600000,2022-01-02 00:00:00,DOT/USD,28.599,30.6,27.819,29.711,9150346.056080535,307978.39372894
1640995200000,2022-01-01 00:00:00,DOT/USD,26.709,28.628,26.684,28.58,5422161.285258274,189718.72936523
1640908800000,2021-12-31 00:00:00,DOT/USD,27.552,28.124,26.258,26.656,8202192.585260064,307705.30406888
1640822400000,2021-12-30 00:00:00,DOT/USD,26.804,28.397,26.2,27.55,7459737.228931537,270770.86130423
1640736000000,2021-12-29 00:00:00,DOT/USD,27.881,28.95,26.518,26.749,9551460.980375942,357077.31056772
1640649600000,2021-12-28 00:00:00,DOT/USD,30.98,30.98,27.463,27.83,16115197.853199938,579058.49274883
1640563200000,2021-12-27 00:00:00,DOT/USD,31.342,32.777,30.869,30.936,17202334.984510157,556062.0307897
1640476800000,2021-12-26 00:00:00,DOT/USD,28.859,31.753,28.285,31.328,10785174.921887467,344266.30879365
1640390400000,2021-12-25 00:00:00,DOT/USD,28.154,29.121,27.992,28.854,4153332.0423412644,143943.02496504
1640304000000,2021-12-24 00:00:00,DOT/USD,29.169,29.677,27.874,28.154,5015335.704683367,178139.36579823
1640217600000,2021-12-23 00:00:00,DOT/USD,27.232,29.8,26.769,29.157,10992292.589685868,377003.55282388
1640131200000,2021-12-22 00:00:00,DOT/USD,25.185,28.227,24.996,27.229,10658497.710719846,391439.19022806
1640044800000,2021-12-21 00:00:00,DOT/USD,24.093,25.593,23.759,25.172,6774035.139538879,269109.92926819
1639958400000,2021-12-20 00:00:00,DOT/USD,24.782,25.017,23.252,24.078,8075894.140054586,335405.52122496
1639872000000,2021-12-19 00:00:00,DOT/USD,25.495,25.867,24.663,24.791,6487227.631859477,261676.72267595
1639785600000,2021-12-18 00:00:00,DOT/USD,24.667,25.738,24.224,25.525,7246081.23455954,283881.7329896
1639699200000,2021-12-17 00:00:00,DOT/USD,26.04,26.22,24.168,24.674,7070454.877450632,286554.87061079
1639612800000,2021-12-16 00:00:00,DOT/USD,27.234,27.878,25.726,26.037,19544173.79762249,750630.78686571
1639526400000,2021-12-15 00:00:00,DOT/USD,26.16,28.032,24.292,27.194,10330656.864309402,379887.35987017
1639440000000,2021-12-14 00:00:00,DOT/USD,25.975,26.715,25.001,26.195,8363252.227992447,319269.02950916
1639353600000,2021-12-13 00:00:00,DOT/USD,29.55,29.85,25.571,25.982,9862320.548834462,379582.8092077
1639267200000,2021-12-12 00:00:00,DOT/USD,27.814,30.052,27.343,29.55,4949226.147606123,167486.50245706
1639180800000,2021-12-11 00:00:00,DOT/USD,26.462,28.17,25.856,27.813,10446647.33413604,375603.03937497
1639094400000,2021-12-10 00:00:00,DOT/USD,26.947,28.407,25.72,26.452,10825387.130915778,409246.45134265
1639008000000,2021-12-09 00:00:00,DOT/USD,29.868,30.15,26.82,26.939,12035895.076225564,446783.29099913
1638921600000,2021-12-08 00:00:00,DOT/USD,30.534,30.652,28.055,29.836,10627638.490609357,356201.85315087
